LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Derby,261401,15222,16895,16974,16357,18532,18437,18300,18234,16502,16422,17239,16152,13341,11311,11125,8131,6135,6092
Derbyshire Dales,71542,2635,3305,3774,3512,2775,2972,3159,3209,3673,4645,5881,6340,5643,5105,5538,4099,2708,2569
Doncaster,308137,16941,18129,18614,16119,16214,20192,21858,20127,17972,18713,21801,22010,19580,16540,16324,11513,8026,7464
Dorset,379523,15034,18170,20330,19130,15295,16755,18333,18328,18801,21652,26904,29750,28796,27017,30418,22869,15736,16205
Dover,116420,5671,6490,6784,5972,5409,6543,6882,6635,6333,6732,8124,8827,8119,7378,7675,5675,3734,3437
Dudley,323461,18187,19768,19313,17772,17012,20428,21343,20212,18877,20144,23477,22227,18633,16815,17001,13806,9668,8778
Ealing,367139,21518,22257,23652,21805,22624,28900,30776,30772,29665,26387,24744,21922,17657,13594,11394,7965,6002,5505
East Cambridgeshire,87755,4518,5279,5529,4448,3663,4710,5459,5810,5919,6251,6454,6158,5340,4705,4978,3569,2516,2449
East Devon,150816,6491,7703,7745,7090,6180,6895,7427,7581,7678,8762,10509,10935,10587,10349,11907,9359,6569,7049
East Hampshire,125751,6004,6949,7505,6767,5413,6189,6767,6973,7517,8407,9634,9857,8715,7300,7735,5865,4111,4043
East Hertfordshire,150140,8315,8934,9808,8183,6961,8864,9599,9657,10125,10965,11390,10998,8947,7133,7468,5217,3732,3844
East Lindsey,142303,5639,6528,7274,6365,5919,6584,6846,6291,6329,7739,10232,11700,11507,11113,12241,9210,5794,4992
East Riding of Yorkshire,342224,14684,17383,18403,16778,14450,16831,18021,18021,18013,21531,25578,27127,24910,23078,25356,17943,12653,11464
East Staffordshire,124008,6965,7474,7621,6750,6506,8097,8695,8123,7598,7864,9004,8680,7557,6183,6208,4678,3128,2877
East Suffolk,246063,10632,12498,13551,12252,10711,11951,12566,12274,12621,14717,17652,18679,17648,16580,18666,13989,9343,9733
Eastbourne,101687,4710,5531,5786,5336,5226,5640,6104,5945,5870,6245,6902,7111,6358,5792,6531,4872,3678,4050
Eastleigh,136439,7585,8523,8411,6915,6414,8331,9508,9270,9024,8831,9539,9339,8117,6955,7075,5147,3757,3698
Elmbridge,138792,8358,9856,9937,7435,5138,6010,7482,9191,11251,11287,10617,9748,7657,6258,6294,4720,3483,4070
Enfield,330000,21258,22745,24111,21337,19122,21173,23118,23966,24569,22745,22644,21100,17075,12790,11148,8169,6503,6427
Epping Forest,134953,7916,7680,7899,7031,6846,7573,8847,8995,9089,8906,9961,9844,8101,6734,6985,5164,3608,3774
Epsom and Ewell,80902,4624,5322,5339,4616,3964,4018,4770,5592,6220,6120,5835,5466,4408,3605,3939,2895,2050,2119
